utterance,intent,source_row
"I'd like something in Tower Hamlets London with a good rating. Budget is around ‰âÂåÊ19 per night.""",confirmation,147
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,529
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,569
Does it include breakfast?,ask_info,756
"I'd like something in Heraklio with a good rating. Budget is around $79 per night.""",confirmation,781
Looking for a place to stay in Heralkio City Centre Heraklio. Any suggestions?,provide_location,1077
What's a simple explanation of quantum computing?,ask_info,52
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1176
Looking for a place to stay in Frankfurt. Any suggestions?,provide_location,1027
"I'd like something in 14th arr. Paris with a good rating. Budget is around $88 per night.""",provide_location,500
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1162
"""Yes please. Book it for me.""",confirmation,337
Looking for a place to stay in Sachsenhausen Frankfurt. Any suggestions?,provide_location,1030
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 31 per night.""",provide_location,411
"""Yes please. Book it for me.""",confirmation,245
"""Yes please. Book it for me.""",confirmation,325
Does it include breakfast?,ask_info,380
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $101 per night.""",provide_location,779
"I'd like something in St. Georg Hamburg with a good rating. Budget is around $126 per night.""",provide_location,738
"""Hi I'm planning a"" trip to London and need a hotel.""",greeting,218
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1118
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $137 per night.""",confirmation,572
Looking for a place to stay in Friedrichshain-Kreuzberg Berlin. Any suggestions?,provide_location,1006
Looking for a place to stay in Heralkio City Centre Heraklio. Any suggestions?,provide_location,1061
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,418
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,326
"I'd like something in Sants-MontjuÃ¯c Barcelona with a good rating. Budget is around â¬Â 104 per night.""",confirmation,462
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $125 per night.""",provide_location,558
Does it include breakfast?,ask_info,188
"I'd like something in Westminster Borough London with a good rating. Budget is around â¬Â 163 per night.""",provide_location,219
Looking for a place to stay in Rione Monti Rome. Any suggestions?,provide_location,1140
""" What are the top programming languages to learn in 2024?",ask_info,27
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1122
Looking for a place to stay in Mitte Berlin. Any suggestions?,provide_location,1002
Does it include breakfast?,ask_info,606
I will visit from [Check in Date] until [Check out Date].,confirmation,75
Looking for a place to stay in Eixample Barcelona. Any suggestions?,provide_location,915
"""Yes please. Book it for me.""",confirmation,409
Looking for a place to stay in Gare Luxembourg. Any suggestions?,provide_location,878
"I'd like something in Sant MartÃ­ Barcelona with a good rating. Budget is around â¬Â 172 per night.""",provide_location,486
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,559
Does it include breakfast?,ask_info,102
"""Yes please. Book it for me.""",confirmation,765
"""Yes please. Book it for me.""",confirmation,361
"""Yes please. Book it for me.""",confirmation,89
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,688
Looking for a place to stay in San Polo Venice. Any suggestions?,provide_location,1155
"""Yes please. Book it for me.""",confirmation,281
"""Yes please. Book it for me.""",confirmation,550
"I'd like something in Rione Monti Rome with a good rating. Budget is around $167 per night.""",confirmation,826
"I'd like something in Ciutat Vella Barcelona with a good rating. Budget is around â¬Â 163 per night.""",provide_location,464
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,378
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,735
Looking for a place to stay in Westminster Borough London. Any suggestions?,ask_info,848
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,971
This is a great choice!,confirmation,97
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,382
"""Hi I'm planning a"" trip to Rome and need a hotel.""",greeting,814
Looking for a place to stay in Mitte Berlin. Any suggestions?,provide_location,1004
How can I improve my data analysis skills?,ask_info,38
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 60 per night.""",provide_location,363
Looking for a place to stay in Mitte Berlin. Any suggestions?,provide_location,994
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,712
Looking for a place to stay in Belair Luxembourg. Any suggestions?,provide_location,868
Looking for a place to stay in Vaticano Prati Rome. Any suggestions?,provide_location,1139
Looking for a place to stay in Bahnhofsviertel Frankfurt. Any suggestions?,provide_location,1021
""" How can I stay motivated while learning to code?",ask_info,32
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,493
"I'd like something in Friedrichshain-Kreuzberg Berlin with a good rating. Budget is around $95 per night.""",provide_location,622
Looking for a place to stay in Bonnevoie Luxembourg. Any suggestions?,provide_location,881
Does it include breakfast?,ask_info,760
Looking for a place to stay in Heraklio. Any suggestions?,provide_location,1068
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,334
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1110
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,278
Looking for a place to stay in Westminster Borough London. Any suggestions?,ask_info,851
""" How can I fix a bug in my Python code that's causing a syntax error?",confirmation,24
"I'd like something in Gutleutviertel Frankfurt with a good rating. Budget is around $85 per night.""",provide_location,652
I will visit from [Check in Date] until [Check out Date].,confirmation,1191
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1130
"I'd like something in Islington London with a good rating. Budget is around â¬Â 135 per night.""",provide_location,207
Looking for a place to stay in Friedrichshain-Kreuzberg Berlin. Any suggestions?,provide_location,997
Looking for a place to stay in Ciutat Vella Barcelona. Any suggestions?,provide_location,918
Does it include breakfast?,ask_info,284
Does it include breakfast?,ask_info,408
I'd like to book a hotel room.,book_hotel,1180
Looking for a place to stay in Mitte Berlin. Any suggestions?,provide_location,999
Hello I would like to book a hotel room.,greeting,1177
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1154
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,517
Does it include breakfast?,ask_info,432
"""Yes please. Book it for me.""",confirmation,385
What are effective strategies for time management?,ask_info,44
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,547
"I'd like something in SarriÃ -St. Gervasi Barcelona with a good rating. Budget is around â¬Â 309 per night.""",confirmation,423
"""Hi I'm planning a"" trip to Heraklio and need a hotel.""",greeting,788
Does it include breakfast?,ask_info,479
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,322
"I'd like something in 17th arr. Paris with a good rating. Budget is around $97 per night.""",provide_location,494
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 41 per night.""",provide_location,347
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,970
"""Yes please. Book it for me.""",confirmation,181
"""Yes please. Book it for me.""",confirmation,397
"I'd like something in Frankfurt City Center (Old Town) Frankfurt with a good rating. Budget is around $109 per night.""",provide_location,681
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,467
Looking for a place to stay in 9th arr. Paris. Any suggestions?,provide_location,940
Looking for a place to stay in Mitte Berlin. Any suggestions?,provide_location,998
"I'd like something in Friedrichshain-Kreuzberg Berlin with a good rating. Budget is around $93 per night.""",provide_location,602
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 94 per night.""",provide_location,327
"I'd like something in Mitte Berlin with a good rating. Budget is around $93 per night.""",confirmation,614
"I'd like something in Bonnevoie Luxembourg with a good rating. Budget is around â¬Â 152 per night.""",provide_location,315
I will visit from [Check in Date] until [Check out Date].,confirmation,11
"I'd like something in St. Pauli Hamburg with a good rating. Budget is around $141 per night.""",provide_location,763
Looking for a place to stay in Rione Monti Rome. Any suggestions?,provide_location,1096
Looking for a place to stay in Central Station Rome. Any suggestions?,provide_location,1086
"I'd like something in Luxembourg with a good rating. Budget is around â¬Â 104 per night.""",confirmation,291
"I'd like something in Hamburg City Center Hamburg with a good rating. Budget is around $78 per night.""",confirmation,728
Looking for a place to stay in Vaticano Prati Rome. Any suggestions?,provide_location,1098
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,668
Looking for a place to stay in Heralkio City Centre Heraklio. Any suggestions?,provide_location,1062
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,443
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,573
Looking for a place to stay in Rione Monti Rome. Any suggestions?,provide_location,1106
"I'd like something in Tower Hamlets London with a good rating. Budget is around ‰âÂåÊ66 per night.""",confirmation,131
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,682
Does it include breakfast?,ask_info,416
"I'd like something in 14th arr. Paris with a good rating. Budget is around $88 per night.""",provide_location,542
"I'd like something in Ciutat Vella Barcelona with a good rating. Budget is around â¬Â 150 per night.""",provide_location,452
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,721
"""Hi I'm planning a"" trip to London and need a hotel.""",greeting,154
Does it include breakfast?,ask_info,726
"Can AI help in environmental conservation? ""Yes AI can significantly aid in environmental conservation by analyzing large datasets for climate modeling monitoring wildlife and optimizing energy consumption."" "" Can AI help in environmental conservation?",confirmation,57
Looking for a place to stay in Luxembourg. Any suggestions?,provide_location,858
"I'd like something in Frankfurt Airport Area Frankfurt with a good rating. Budget is around $98 per night.""",confirmation,657
Does it include breakfast?,ask_info,581
Looking for a place to stay in Rione Monti Rome. Any suggestions?,provide_location,1150
Looking for a place to stay in Eixample Barcelona. Any suggestions?,provide_location,916
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,539
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1125
"""Yes please. Book it for me.""",confirmation,197
Looking for a place to stay in Gare Luxembourg. Any suggestions?,provide_location,861
Looking for a place to stay in Gallusviertel Frankfurt. Any suggestions?,provide_location,1011
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,625
Looking for a place to stay in Maxvorstadt Munich. Any suggestions?,provide_location,975
"""Yes please. Book it for me.""",confirmation,699
"""Hi I'm planning a"" trip to London and need a hotel. """,greeting,105
Does it include breakfast?,ask_info,340
"I'd like something in Eixample Barcelona with a good rating. Budget is around â¬Â 175 per night.""",provide_location,444
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,230
Looking for a place to stay in Gutleutviertel Frankfurt. Any suggestions?,provide_location,1010
"I'd like something in Hamburg with a good rating. Budget is around $98 per night.""",provide_location,748
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,567
"""Yes please. Book it for me. """,confirmation,110
"""Yes please. Book it for me.""",confirmation,153
"I'd like something in Frankfurt City Center (Old Town) Frankfurt with a good rating. Budget is around $102 per night.""",provide_location,667
"What are the latest trends in AI research? ""Current trends in AI research include explainable AI (XAI) reinforcement learning federated learning for data privacy and AI for healthcare and drug discovery."" "" What are the latest trends in AI research?",confirmation,58
Looking for a place to stay in NeukÃ¶lln Berlin. Any suggestions?,ask_info,983
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 46 per night.""",provide_location,391
"""Yes please. Book it for me.""",confirmation,149
Does it include breakfast?,ask_info,627
Does it include breakfast?,ask_info,352
"""Yes please. Book it for me.""",confirmation,582
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,565
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $107 per night.""",provide_location,584
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,962
Yes my name is {name}. My email is {email} and my phone number is {phone number}.,confirmation,104
Does it include breakfast?,ask_info,449
"I'd like something in Westend Frankfurt with a good rating. Budget is around $123 per night.""",confirmation,663
Looking for a place to stay in Central Station Rome. Any suggestions?,provide_location,1101
"I'd like something in 6th arr. Paris with a good rating. Budget is around $142 per night.""",provide_location,506
"""Hi I'm planning a"" trip to London and need a hotel.""",greeting,178
Does it include breakfast?,ask_info,224
Looking for a place to stay in Frankfurt City Center (Old Town) Frankfurt. Any suggestions?,provide_location,1026
"I'd like something in 12th arr. Paris with a good rating. Budget is around $114 per night.""",provide_location,522
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.",greeting,282
I want to visit [City Name].,confirmation,67
"""Yes please. Book it for me.""",confirmation,421
Looking for a place to stay in Bahnhofsviertel Frankfurt. Any suggestions?,provide_location,1008
I will visit from [Check in Date] until [Check out Date].,confirmation,17
Looking for a place to stay in Luxembourg. Any suggestions?,provide_location,879
"I'd like something in City of London London with a good rating. Budget is around â¬Â 199 per night.""",provide_location,211
Looking for a place to stay in Navona Rome. Any suggestions?,provide_location,1144
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,390
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,891
Looking for a place to stay in Heralkio City Centre Heraklio. Any suggestions?,provide_location,1070
"I'd like something in Hamburg City Center (New Town) Hamburg with a good rating. Budget is around $132 per night.""",provide_location,719
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $108 per night.""",confirmation,562
What's a simple explanation of quantum computing?,ask_info,42
Yes my name is [Name]. You can reach me at [Email] and [Phone Number].,confirmation,111
Does it include breakfast?,ask_info,268
"""Yes please. Book it for me.""",confirmation,177
Looking for a place to stay in 14th arr. Paris. Any suggestions?,provide_location,933
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,422
Looking for a place to stay in 12th arr. Paris. Any suggestions?,provide_location,947
Looking for a place to stay in Westend Frankfurt. Any suggestions?,provide_location,1015
"I'd like something in Hamburg City Center (Old Town) Hamburg with a good rating. Budget is around $147 per night.""",provide_location,740
"""Yes please. Book it for me.""",confirmation,341
Looking for a place to stay in Heralkio City Centre Heraklio. Any suggestions?,provide_location,1078
Looking for a place to stay in St. Pauli Hamburg. Any suggestions?,provide_location,1057
Does it include breakfast?,ask_info,128
"""Hi I'm planning a"" trip to Rome and need a hotel.""",greeting,802
Does it include breakfast?,ask_info,308
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,238
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,318
I want to visit [City Name].,confirmation,6
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,654
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,662
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,194
""" Can AI help in environmental conservation?",ask_info,30
Looking for a place to stay in Friedrichshain-Kreuzberg Berlin. Any suggestions?,provide_location,993
"I'd like something in City of London London with a good rating. Budget is around ‰âÂåÊ199 per night.""",provide_location,179
Looking for a place to stay in Rione Monti Rome. Any suggestions?,provide_location,1093
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,737
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,374
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,551
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,968
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $57 per night.""",provide_location,792
"""Yes please. Book it for me. """,confirmation,81
Does it include breakfast?,ask_info,256
Looking for a place to stay in Hamburg. Any suggestions?,ask_info,1051
I will visit from [Check in Date] until [Check out Date].,confirmation,77
Does it include breakfast?,ask_info,148
"I'd like something in Mitte Berlin with a good rating. Budget is around $78 per night.""",confirmation,605
Does it include breakfast?,ask_info,132
I will visit from [Check in Date] until [Check out Date].,confirmation,73
"I'd like something in Bahnhofsviertel Frankfurt with a good rating. Budget is around $69 per night.""",provide_location,648
Looking for a place to stay in Westminster Borough London. Any suggestions?,ask_info,840
Looking for a place to stay in 1st arr. Paris. Any suggestions?,provide_location,951
Does it include breakfast?,ask_info,116
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,531
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,246
"I'd like something in Mitte Berlin with a good rating. Budget is around $102 per night.""",confirmation,630
This is a great choice!,confirmation,93
Does it include breakfast?,ask_info,144
"I'd like something in Frankfurt City Center (Old Town) Frankfurt with a good rating. Budget is around $151 per night.""",provide_location,685
I want to visit [City Name].,confirmation,4
Looking for a place to stay in Camden London. Any suggestions?,provide_location,841
Looking for a place to stay in 6th arr. Paris. Any suggestions?,provide_location,941
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1159
Looking for a place to stay in Friedrichshain-Kreuzberg Berlin. Any suggestions?,provide_location,995
Does it include breakfast?,ask_info,360
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,692
"I'd like something in 1st arr. Paris with a good rating. Budget is around $213 per night.""",provide_location,530
Does it include breakfast?,ask_info,752
Looking for a place to stay in Islington London. Any suggestions?,provide_location,854
Looking for a place to stay in Hammerbrook Hamburg. Any suggestions?,provide_location,1034
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $111 per night.""",provide_location,566
"I'd like something in Hammerbrook Hamburg with a good rating. Budget is around $77 per night.""",confirmation,709
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,250
Looking for a place to stay in Gallusviertel Frankfurt. Any suggestions?,provide_location,1020
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,563
Looking for a place to stay in Ciutat Vella Barcelona. Any suggestions?,provide_location,928
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,700
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,966
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $100 per night.""",provide_location,784
"""Yes please. Book it for me.""",confirmation,221
Does it include breakfast?,ask_info,822
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $107 per night.""",provide_location,554
"""Hi I'm planning a"" trip to London and need a hotel.""",greeting,174
Yes my name is {name}. My email is {email} and my phone number is {phone number}.,confirmation,98
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,674
Looking for a place to stay in Central Station Rome. Any suggestions?,provide_location,1088
I need to make a hotel reservation.,confirmation,72
""" What are the latest trends in AI research?",ask_info,31
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,706
Looking for a place to stay in Bonfim Porto. Any suggestions?,provide_location,899
"""Yes please. Book it for me.""",confirmation,586
"""Hi I'm planning a"" trip to Frankfurt and need a hotel.""",greeting,666
"""Yes please. Book it for me.""",confirmation,695
Does it include breakfast?,ask_info,428
"""Yes please. Book it for me.""",confirmation,305
Looking for a place to stay in Gare Luxembourg. Any suggestions?,provide_location,874
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1152
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,435
Looking for a place to stay in 10th arr. Paris. Any suggestions?,provide_location,954
"I'd like something in Heralkio City Centre Heraklio with a good rating. Budget is around $126 per night.""",provide_location,794
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,338
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,733
"""Hi I'm planning a"" trip to London and need a hotel. """,greeting,82
Does it include breakfast?,ask_info,80
Looking for a place to stay in Heraklio. Any suggestions?,provide_location,1069
This is a great choice!,confirmation,19
Looking for a place to stay in City of London London. Any suggestions?,ask_info,846
"""Yes please. Book it for me.""",confirmation,253
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,519
"I'd like something in UniÃ£o de Freguesias do Centro Porto with a good rating. Budget is around â¬Â 91 per night.""",provide_location,419
Looking for a place to stay in UniÃ£o de Freguesias do Centro Porto. Any suggestions?,provide_location,886
"I'd like something in St. Georg Hamburg with a good rating. Budget is around $100 per night.""",confirmation,744
Does it include breakfast?,ask_info,475
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,635
"""Hi I'm planning a"" trip to Heraklio and need a hotel.""",greeting,772
""" What are effective strategies for time management?",ask_info,35
Looking for a place to stay in Heralkio City Centre Heraklio. Any suggestions?,provide_location,1065
I want to visit [City Name].,confirmation,1181
Looking for a place to stay in Cannaregio Venice. Any suggestions?,provide_location,1174
Looking for a place to stay in Gare Luxembourg. Any suggestions?,provide_location,870
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1163
Looking for a place to stay in Frankfurt City Center (Old Town) Frankfurt. Any suggestions?,provide_location,1025
"I'd like something in Altstadt - Lehel Munich with a good rating. Budget is around $225 per night.""",provide_location,591
I will visit from [Check in Date] until [Check out Date].,confirmation,12
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,639
"I'd like something in Vaticano Prati Rome with a good rating. Budget is around $150 per night.""",provide_location,801
Does it include breakfast?,ask_info,88
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,497
Yes my name is {name}. My email is {email} and my phone number is {phone number}.,confirmation,20
"I'd like something in Paranhos Porto with a good rating. Budget is around â¬Â 50 per night.""",provide_location,407
"""Hi I'm planning a"" trip to Luxembourg and need a hotel.""",greeting,314
"""Hi I'm planning a"" trip to Rome and need a hotel.""",greeting,810
"""Hi I'm planning a"" trip to Barcelona and need a hotel.""",greeting,439
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $113 per night.""",confirmation,574
Does it include breakfast?,ask_info,348
"""Hi I'm planning a"" trip to Hamburg and need a hotel.""",greeting,741
"I'd like something in Central Station Rome with a good rating. Budget is around $150 per night.""",confirmation,813
"""Yes please. Book it for me.""",confirmation,472
Looking for a place to stay in Sant MartÃ­ Barcelona. Any suggestions?,provide_location,932
"I'd like something in Bahnhofsviertel Frankfurt with a good rating. Budget is around $109 per night.""",provide_location,689
Looking for a place to stay in Hamburg City Center (New Town) Hamburg. Any suggestions?,provide_location,1042
"I'd like something in Ludwigsvorstadt Munich with a good rating. Budget is around $119 per night.""",provide_location,588
"""Hi I'm planning a"" trip to Porto and need a hotel.""",greeting,346
Looking for a place to stay in Mitte Berlin. Any suggestions?,provide_location,992
Looking for a place to stay in 6th arr. Paris. Any suggestions?,provide_location,948
Looking for a place to stay in Luxembourg. Any suggestions?,provide_location,876
Looking for a place to stay in Maxvorstadt Munich. Any suggestions?,provide_location,974
"""Yes please. Book it for me.""",confirmation,417
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,523
"""Hi I'm planning a"" trip to Paris and need a hotel.""",greeting,507
"""Yes please. Book it for me.""",confirmation,807
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,645
Looking for a place to stay in Santa Croce Venice. Any suggestions?,provide_location,1167
Looking for a place to stay in Ludwigsvorstadt Munich. Any suggestions?,provide_location,963
Good day I need to book accommodation.,greeting,61
Looking for a place to stay in Ciutat Vella Barcelona. Any suggestions?,provide_location,919
Does it include breakfast?,ask_info,236
Does it include breakfast?,ask_info,356
Does it include breakfast?,ask_info,152
"""Hi I'm planning a"" trip to Munich and need a hotel.""",greeting,553
Looking for a place to stay in Westminster Borough London. Any suggestions?,ask_info,833
""" What are the top programming languages to learn in 2024?",ask_info,37
"""Hi I'm planning a"" trip to Berlin and need a hotel.""",greeting,608
Looking for a place to stay in Bonfim Porto. Any suggestions?,provide_location,896
"I'd like something in Altona-Altstadt Hamburg with a good rating. Budget is around $82 per night.""",provide_location,711
Looking for a place to stay in San Marco Venice. Any suggestions?,provide_location,1120
